,lstm_forecast,lstm_ci_low,lstm_ci_high
2025-07-31,309.98804,294.66707907604086,330.91044442156345
2025-08-01,307.8791,290.4083348851578,329.0204900157799
2025-08-04,305.03326,292.41212303879394,325.12048888363216
2025-08-05,301.88098,283.68881793756606,320.0072223355639
2025-08-06,298.65903,282.71683594163557,323.33625597299294
2025-08-07,295.4955,279.7091991281566,313.71610810700145
2025-08-08,292.45715,281.8253727087216,317.65378611295625
2025-08-11,289.57455,276.76184641685865,310.8076474957965
2025-08-12,286.8567,273.6873503745945,312.6012548105233
2025-08-13,284.30032,270.33606011899684,311.38633277378915
2025-08-14,281.89508,270.95691682915947,300.2926713620667
2025-08-15,279.62744,264.3441367270839,291.64394397261145
2025-08-18,277.48273,264.66752202172637,294.7339155315367
2025-08-19,275.44702,259.31579315441746,295.60804797417177
2025-08-20,273.5072,261.5657265577192,295.0230209466981
2025-08-21,271.65222,253.61337165079024,289.882152954788
2025-08-22,269.87256,251.97021047650836,290.4074071267096
2025-08-25,268.16052,256.1406471484001,288.5628680698574
2025-08-26,266.50983,252.5068318660998,285.60385978201083
2025-08-27,264.91547,252.78507845916218,292.021993707482
2025-08-28,263.37357,253.9241368883207,288.328536310934
2025-08-29,261.88107,251.76107796819588,282.9357078732123
2025-09-01,260.43542,248.94449029790854,292.8207522064653
2025-09-02,259.03467,242.9904807353374,274.9723617287481
2025-09-03,257.67697,239.6397350377503,281.86510238729903
2025-09-04,256.36093,244.04926066367324,275.8512919140529
2025-09-05,255.08502,244.11765987287512,279.25283578929026
2025-09-08,253.848,237.95997968941506,279.6172153337351
2025-09-09,252.64862,237.97929285152676,271.81405990127655
2025-09-10,251.48552,237.62163074966088,270.95796339399794
2025-09-11,250.35765,238.02158997124477,278.2968945447329
2025-09-12,249.26363,237.10847134435832,276.8685095925864
2025-09-15,248.2024,235.2912651784092,273.9518196144045
2025-09-16,247.17271,236.1312021098119,267.9667416343867
2025-09-17,246.17337,233.3506431576262,263.1684143757618
2025-09-18,245.20338,232.3330325514123,268.60561741165475
2025-09-19,244.2616,229.5801068728735,267.68906936709914
2025-09-22,243.34698,229.30393750042788,261.5433652300849
2025-09-23,242.45857,229.66586332549153,260.82930069480665
2025-09-24,241.59541,229.64966877241795,269.47300794943476
