,forecast,ci_lower,ci_upper
2025-07-31,248.1682702487292,236.92959394094524,259.40694655651316
2025-08-01,248.90941658777263,233.32410248086885,264.4947306946764
2025-08-04,249.75654091928595,230.73285025249285,268.780231586079
2025-08-05,249.7193821529489,227.5432855198094,271.8954787860884
2025-08-06,248.91514314694263,223.8584124644002,273.97187382948505
2025-08-07,248.33984285687083,220.80308271233733,275.8766030014043
2025-08-08,248.6407546819283,218.9917486696563,278.2897606942003
2025-08-11,249.39580079895165,217.81088018482254,280.9807214130808
2025-08-12,249.69219447442117,216.17890674091262,283.2054822079297
2025-08-13,249.225032756689,213.78120494961738,284.66886056376063
2025-08-14,248.59954280264157,211.33644940230664,285.8626362029765
2025-08-15,248.55361747568213,209.65317155744816,287.4540633939161
2025-08-18,249.0918583627895,208.68014309111524,289.5035736344638
2025-08-19,249.5417381771837,207.63648543286806,291.4469909214994
2025-08-20,249.3894914956336,205.96268353183387,292.8162994594333
2025-08-21,248.8619864200144,203.93859616024272,293.78537667978605
2025-08-22,248.60179420211801,202.2797635387325,294.92382486550355
2025-08-25,248.88792483419275,201.2665287659849,296.5093209024006
2025-08-26,249.34308841814064,200.4575860829329,298.2285907533484
2025-08-27,249.42581354438263,199.2579694488753,299.59365763988995
2025-08-28,249.07149747441343,197.61495253548938,300.52804241333746
2025-08-29,248.7272570779039,196.02969022353315,301.42482393227465
2025-09-01,248.7910419190671,194.92609036282056,302.65599347531366
2025-09-02,249.15474206313297,194.16634241460324,304.1431417116627
2025-09-03,249.37186867900917,193.25760197866188,305.4861353793564
2025-09-04,249.203177167967,191.94930114037362,306.4570531955604
2025-09-05,248.87644713377017,190.50074525470177,307.2521490128386
2025-09-08,248.7834407180296,189.33552948054006,308.23135195551913
2025-09-09,249.01230381247618,188.5359870483283,309.48862057662404
2025-09-10,249.2709121129171,187.7770063934858,310.7648178323484
2025-09-11,249.25717950124024,186.73538058740792,311.7789784150726
2025-09-12,249.00985318544457,185.4623177960594,312.5573885748297
2025-09-15,248.83504394251918,184.29136263626805,313.3787252487703
2025-09-16,248.92918299426128,183.42707595583664,314.4312900326859
2025-09-17,249.1606586420259,182.71905396922457,315.60226331482727
2025-09-18,249.2497947854911,181.86559157001602,316.6339980009662
2025-09-19,249.10526575293736,180.77465249660113,317.43587900927355
2025-09-22,248.91410005037346,179.65201436718198,318.1761857335649
2025-09-23,248.90166961801864,178.7369497474436,319.0663894885937
2025-09-24,249.067386222686,178.02196425429304,320.11280819107895
2025-09-25,249.2043317560979,177.2822158958862,321.12644761630963
2025-09-26,249.15627071875684,176.3535087459063,321.9590326916074
2025-09-29,248.99439521258896,175.31672105295308,322.6720693722248
2025-09-30,248.91577864351999,174.38291415648803,323.44864313055194
2025-10-01,249.00451445097812,173.63746050896947,324.3715683929868
2025-10-02,249.1437702237227,172.95170722774532,325.3358332197001
2025-10-03,249.16798481920173,172.14965898019355,326.1863106582099
2025-10-06,249.0587534544438,171.21528598146,326.9022209274276
2025-10-07,248.9538088020761,170.29722535402095,327.61039225013127
2025-10-08,248.97436732354726,169.52235289898198,328.42638174811253
2025-10-09,249.08608785109402,168.8505218753698,329.32165382681825
2025-10-10,249.1518999742273,168.1349765022877,330.16882344616687
2025-10-13,249.09941172014828,167.300930555938,330.89789288435855
2025-10-14,248.99935008918362,166.42581374125592,331.5728864371113
2025-10-15,248.9716236225459,165.63646758862455,332.30677965646726
2025-10-16,249.04228681728296,164.95786797474767,333.12670565981824
2025-10-17,249.12122712363131,164.29268139778856,333.9497728494741
2025-10-20,249.11629991842264,163.54406182942603,334.68853800741925
2025-10-21,249.04024631850808,162.7275170447794,335.35297559223676
2025-10-22,248.9871372565547,161.9432604454318,336.0310140676776
2025-10-23,249.0165742360113,161.2528028032081,336.7803456688145
2025-10-24,249.0875329534011,160.6108650878836,337.5642008189186
2025-10-27,249.11432740252062,159.92667156427012,338.3019832407711
2025-10-28,249.06962041760258,159.17271060836924,338.9665302268359
2025-10-29,249.0112000565577,158.41109244577706,339.61130766733834
2025-10-30,249.00789494351844,157.71389101167267,340.3018988753642
2025-10-31,249.0589120534665,157.07870837513747,341.03911573179556
2025-11-03,249.10059383046845,156.43762506135113,341.7635625995858
2025-11-04,249.08543575791128,155.74122872695622,342.4296427888663
2025-11-05,249.03576465615023,155.01413498272217,343.0573943295783
2025-11-06,249.01201757836884,154.32010405430884,343.70393110242884
2025-11-07,249.03953099408648,153.68477644835366,344.3942855398193
2025-11-10,249.08213258536864,153.06910055931812,345.09516461141914
2025-11-11,249.0892041157599,152.41989968037024,345.7585085511496
2025-11-12,249.05553290476385,151.73252503714332,346.3785407723844
2025-11-13,249.0235429226082,151.05203965747637,346.99504618774
2025-11-14,249.0301528339241,150.41673193296063,347.6435737348876
2025-11-17,249.0644682530581,149.81425705988175,348.31467944623444
2025-11-18,249.0844122018549,149.20011506621182,348.96870933749796
2025-11-19,249.06808525923907,148.55179645231632,349.5843740661618
2025-11-20,249.03744345759387,147.89290454765603,350.1819823675317
2025-11-21,249.02918504519621,147.26184324101877,350.79652684937366
2025-11-24,249.0510001474007,146.66601123071604,351.4359890640854
2025-11-25,249.07509453361953,146.07577379558694,352.07441527165213
2025-11-26,249.07336427817444,145.46182296650517,352.6849055898437
2025-11-27,249.04997947610306,144.8290117382826,353.27094721392353
2025-11-28,249.03384681073797,144.20777920953088,353.85991441194506
2025-12-01,249.043047441602,143.6166685588144,354.4694263243896
2025-12-02,249.06479822112334,143.04178886438424,355.08780757786246
2025-12-03,249.0728489308436,142.45556879518233,355.6901290665049
2025-12-04,249.0590218877413,141.84977110176192,356.2682726737207
2025-12-05,249.04117005131653,141.24333829018815,356.8390018124449
2025-12-08,249.04031187538004,140.65810067337486,357.4225230773852
2025-12-09,249.056016461709,140.0931911394086,358.0188417840094
2025-12-10,249.06870147155334,139.52790474553848,358.6094981975682
2025-12-11,249.06392483502106,138.94728984476978,359.1805598252723
2025-12-12,249.04868449460952,138.35892241751765,359.7384465717014
2025-12-15,249.0415135086809,137.78217900579097,360.30084801157085
2025-12-16,249.05004260807405,137.22474829090802,360.87533692524005
2025-12-17,249.0630744323761,136.6746607454082,361.45148811934405
2025-12-18,249.06513432087715,136.1157560933113,362.014512548443
2025-12-19,249.05475603857715,135.54670194999778,362.5628101271565
2025-12-22,249.04500563972172,134.98123975602385,363.1087715234196
2025-12-23,249.0471260810582,134.430953028925,363.6632991331914
2025-12-24,249.05766540116198,133.89198837734955,364.2233424249744
2025-12-25,249.06370804192667,133.35077408121356,364.7766420026398
2025-12-26,249.0586308324234,132.80051235420277,365.316749310644
2025-12-29,249.04924810388042,132.24843907809452,365.8500571296663
2025-12-30,249.04679058681236,131.70621981177942,366.3873613618453
2025-12-31,249.05352451482136,131.17602540741612,366.9310236222266
2026-01-01,249.06087800133204,130.64877795354462,367.47297804911943
2026-01-02,249.06028024735767,130.11557252185835,368.00498797285695
2026-01-05,249.0530905218142,129.577937850666,368.5282431929624
2026-01-06,249.04819075231197,129.04515019165518,369.05123131296875
2026-01-07,249.0510651740662,128.5228009675907,369.5793293805417
2026-01-08,249.0577318986373,128.0065957731672,370.1088680241074
2026-01-09,249.0601496609287,127.4881255250625,370.63217379679486
2026-01-12,249.05587385415416,126.96491787469024,371.1468298336181
2026-01-13,249.0504192186101,126.44276765326963,371.65807078395056
2026-01-14,249.0502036785188,125.92829675356673,372.1721106034709
2026-01-15,249.05503758561204,125.42118316423777,372.6888920069863
2026-01-16,249.05889752811748,124.91508720301331,373.2027078532217
2026-01-19,249.0573935282231,124.40546985173816,373.709317204708
2026-01-20,249.05271775089153,123.89466831509526,374.2107671866878
2026-01-21,249.05055295831977,123.38858097530914,374.7125249413304
2026-01-22,249.0531964431893,122.88950728893609,375.2168855974425
2026-01-23,249.0571825712949,122.39375923089588,375.72060591169395
2026-01-26,249.05778091281357,121.89640894250795,376.2191528831192
2026-01-27,249.05458240013579,121.39707341539872,376.71209138487285
2026-01-28,249.05161083712468,120.89994911964556,377.2032725546038
2026-01-29,249.05228967867444,120.40854011807036,377.69603923927855
2026-01-30,249.0555263825416,119.92163226444927,378.1894205006339
2026-02-02,249.0573568021496,119.43507133409935,378.67964227019985
2026-02-03,249.05577836880565,118.9467972515165,379.1647594860948
2026-02-04,249.05290552461898,118.45902981908617,379.64678123015176
2026-02-05,249.05217494112424,117.97531389990058,380.1290359823479
2026-02-06,249.05425333401786,117.49627886939464,380.6122277986411
2026-02-09,249.0564973748474,117.01913207033544,381.09386267935935
2026-02-10,249.05629350333635,116.54115878031172,381.571428226361
2026-02-11,249.054083179913,116.06283794134407,382.0453284184819
2026-02-12,249.0525952724072,115.58699718394493,382.5181933608694
2026-02-13,249.05349290586375,115.11531891797046,382.99166689375704
2026-02-16,249.05553614317236,114.64646713854671,383.464605147798
2026-02-17,249.05626187193215,114.17786821193684,383.93465553192743
2026-02-18,249.0549398374732,113.70877573177569,384.4011039431707
2026-02-19,249.05327330982982,113.24096159885619,384.86558502080345
2026-02-20,249.0532218114915,112.77643245551954,385.33001116746345
2026-02-23,249.0547095669895,112.31506660076354,385.79435253321543
2026-02-24,249.05588396551562,111.85491513430998,386.25685279672126
2026-02-25,249.05541077153092,111.39459445996292,386.71622708309894
2026-02-26,249.05397633509634,110.93482315999069,387.173129510202
2026-02-27,249.05332302653986,110.47739505329866,387.62925099978105
2026-03-02,249.0541421838728,110.02299347417144,388.0852908935742
2026-03-03,249.0553613525142,109.57047587125282,388.5402468337756
2026-03-04,249.05553460927922,109.11833370820821,388.99273551035026
2026-03-05,249.05454894958436,108.66645381039697,389.4426440887718
2026-03-06,249.0536434231184,108.21611568490675,389.89117116133
2026-03-09,249.05386034134585,107.76837620461265,390.33934447807906
2026-03-10,249.05485428220325,107.32284822762355,390.786860336783
2026-03-11,249.055408627786,106.87825472795572,391.23256252761627
2026-03-12,249.05491804573117,106.43396732546631,391.67586876599603
2026-03-13,249.054038490769,105.99066440809986,392.1174125734381
2026-03-16,249.05382152585474,105.54942054687007,392.5582225048394
